Id,日期,区域,调温工时,拆装工时,合熔工时,取棒工时,首投化料效率,复投化料效率,成活率,断线率,整棒率,成晶率,引晶长度,引晶平均拉速,放肩时间,放肩长度,加料效率,复投次数,稳定时间,引晶开始CCD亮度值,引晶结束CCD亮度值,熔接CCD亮度值,稳定CCD亮度值,引晶后50长拉速,进等功率,等径液口距,放肩结束功率,放肩降温量,前天产量,昨天产量,今天产量,投料量,引晶开始功率,引晶结束功率,引晶开始液口距,引晶结束液口距
620,2022/9/15,A1,133.5,0,0,94.2,63.2786,73.06,81.0811,45.8333,44.1176,81.8426,196.37,4.4,133.9,137.53,72.75,24,43.97,58.59,58.24,69.06,60.88,4.29,51.58,19.58,49.6,6.84,6907.07,4584.81,6874.78,8400,59.27,58.8,30.21,29.48
624,2022/9/16,A1,132.8,386.6,71.1,93.3,59.5341,74.43,83.871,29.1667,54.1667,106.251,198.42,4.34,129.2,129.86,73.78,18,42.82,58.32,60.42,69.73,61.78,4.51,51.19,19.4,63.5,8.23,4584.81,6874.78,6885.07,6480,59.68,60.77,30.78,31.52
628,2022/9/17,A1,143.7,251.7,79.2,94.5,67.4328,72.88,56.7568,39.5833,38.4615,59.4103,192.67,4.15,130.8,131.32,72.04,26,45.17,58.54,59.24,67.58,61.1,4.18,51.81,19.6,51.13,7.39,6874.78,6885.07,5174.64,8710,58.9,58.41,31.05,30.53
632,2022/9/18,A1,130.4,457.3,53.5,95.5,73.3959,71.74,81.5789,50,48.2759,95.9435,193.32,4.54,131.9,130.67,71.85,22,41.34,58.24,59.64,69.25,61.26,4.23,52.31,19.47,49,6.59,6885.07,5174.64,7435.62,7750,59.28,58.16,31.46,31.64
636,2022/9/19,A1,193.3,322,76.7,94.4,71.6046,73.26,81.8182,47.9167,40,49.5469,196.73,4.48,129.4,135.91,73.16,22,39.85,58.87,60.42,70.32,62.16,4.45,52.58,19.57,45.4,10.72,5174.64,7435.62,3874.57,7820,59.31,58.95,31.75,31.72
640,2022/9/20,A1,136.1,142.1,30.3,93.4,79.669,74.81,90,25,50,102.343,196.48,4.5,129.8,125.1,74.95,22,39.77,58.81,59.24,69.19,61.59,4.41,51.04,19.5,50.7,6.56,7435.62,3874.57,7696.23,7520,57.46,57.68,32.84,34.52
644,2022/9/21,A1,137.7,293,69.5,97.3,0,73.35,86.6667,35.4167,41.3793,83.9755,196.34,4.52,135.1,139.49,73.35,22,46.06,58.13,60.35,68.91,60.77,4.29,51.7,19.53,50,6.36,3874.57,7696.23,6474.51,7710,59.34,59.7,33.59,31.58
648,2022/9/22,A1,136.3,240.2,69.3,95,64.6365,76.11,96.1538,31.25,37.5,100.595,199.04,4.48,127.1,128.57,74.09,24,42.38,58.9,60.56,70.04,61.78,4.31,50.99,19.22,49,6.59,7696.23,6474.51,6679.48,6640,58.78,58.58,32.7,32.81
652,2022/9/23,A1,144.7,136.9,77.1,99,70.1145,74.54,89.1892,35.4167,33.3333,86.8929,194.82,4.43,134.6,138.28,73.57,22,49.32,56.92,57.43,68.05,59.79,4.24,51.62,19.59,53,6.63,6474.51,6679.48,5752.31,6620,58.42,58.88,33.12,32.66
656,2022/9/24,A1,120.3,306.9,98.8,93.4,70.1015,74.96,83.7838,50,31.4286,84.025,196.17,4.58,130.8,136.14,74.17,19,41.6,57.77,59.86,68.71,60.97,4.2,51.31,19.61,51.5,6.63,6679.48,5752.31,5402.81,6430,58.05,58.78,31.05,30.93
660,2022/9/25,A1,147,513.4,56.2,93.3,64.4057,73.75,88.8889,52.0833,13.7931,97.6377,192.54,4.41,127.3,136.55,72.06,20,34.93,58.2,59.58,69.44,61.12,32.05,50.64,19.43,50.5,6.46,5752.31,5402.81,5594.64,5730,58.75,58.34,30.48,30.95
664,2022/9/26,A1,129.4,200.7,71.1,92,58.932,76.17,84.8485,37.5,25.9259,95.0538,188.86,4.5,127.7,133.63,73.47,18,35.49,57.82,59.89,69.19,61.49,4.44,51.13,19.73,47.5,6.49,5402.81,5594.64,5370.54,5650,58.19,57.03,31.87,30.78
668,2022/9/27,A1,143,148.3,81.3,95.5,60.2519,70.2,79.4118,39.5833,25.7143,60.0623,195.66,4.58,130.5,134.06,68.58,25,42.96,57.55,58.92,66.54,60.95,4.32,51.02,19.46,48.4,7.14,5594.64,5370.54,5033.22,8380,57.97,57.96,31.67,32.41
672,2022/9/28,A1,135.9,307.4,55.4,94.2,70.0854,73.45,84.375,33.3333,26.087,106.329,194.87,4.5,132.1,139.35,72.52,20,44.71,58.19,59.58,69.74,61.59,4.4,51.54,19.7,47.7,10.02,5370.54,5033.22,5518.48,5190,58.32,58.64,32.45,31.88
676,2022/9/29,A1,139.6,367,66.2,82.1,65.7547,75.53,77.4194,25,61.7647,39.3383,197.26,4.6,128.4,139.52,73.52,30,41.36,56.56,58.79,67.61,60.21,4.52,50.08,20.42,46.5,7.55,5033.22,5518.48,4181.66,10630,58.94,57.86,32.97,32.43
680,2022/9/30,A1,145.9,0,0,77.6,63.879,77.4,81.0811,33.3333,36.8421,102.108,198.61,4.68,125.1,132.71,76.81,17,36.27,57.89,59.13,69.44,61.54,4.6,49.44,21.2,48.5,6.55,5518.48,4181.66,6514.52,6380,57.82,57.66,32.11,32.33
684,2022/10/1,A1,133.8,236.1,66,81.2,0,75.5,78.2609,18.75,67.7419,60.7085,198.13,4.53,126.8,131.21,75.5,21,43,55.88,58.11,66.75,59.34,4.42,51.03,20.6,48,7.83,4181.66,6514.52,5002.38,8240,56.24,56.62,32.91,33.03
688,2022/10/2,A1,130.2,286.4,61.8,96.9,58.4343,77,79.4872,31.25,52,70.5947,198.54,4.54,128.7,136.46,74.72,30,44.72,58.42,58.77,69.82,62.19,4.39,50.28,20.15,49,9.02,6514.52,5002.38,7638.35,10820,58.91,57.89,32.31,31.99
692,2022/10/3,A1,130.9,117.4,45.7,94.4,76.0121,74.69,84.375,37.5,48.1481,91.8134,192.52,4.66,124.4,133.99,74.74,17,33.26,56.22,58.08,67.96,59.93,4.53,50.89,20.41,90,7.35,5002.38,7638.35,5701.61,6210,57.22,56.87,32.46,31.59
696,2022/10/4,A1,130.4,173.6,66,97.8,70.3026,70.3,93.1034,25,44.8276,97.2827,196.04,4.54,122.5,131,70.3,26,38.09,58.95,58.6,70.45,62.12,34.21,50.22,19.3,47,7.57,7638.35,5701.61,9397.51,9660,57.68,57.07,31.69,30.97
700,2022/10/5,A1,128.4,173.2,53.4,95.8,72.7358,76.34,68.4211,43.75,46.6667,55.6777,191.54,4.46,128.7,132.12,75.96,20,37.37,55.82,58.74,66.99,59.26,4.07,49.31,20.38,50,6.48,5701.61,9397.51,3819.49,6860,56.96,57.74,31.89,31.8
704,2022/10/6,A1,127.9,245.4,61.2,96.5,66.7524,75.21,82.5,43.75,43.3333,102.601,192.16,4.51,122.2,132.87,74.67,25,35.42,58.39,59.24,69.16,61.31,4.38,51.03,19.94,95,8.27,9397.51,3819.49,8792.87,8570,57.95,58.24,31.48,32.32
708,2022/10/7,A1,131.3,176.4,67.2,89.6,74.5207,78.41,82.7586,33.3333,25,57.9235,192.03,4.43,133.6,138.96,78.27,21,43.08,57.49,58.07,68.53,60.86,4.12,49.94,19.94,48.7,7.78,3819.49,8792.87,4147.32,7160,57.62,57.64,30.46,27.71
712,2022/10/8,A1,137.9,272.7,59,93.4,73.4312,76.13,76.9231,33.3333,57.6923,73.9987,191.48,4.52,127.2,132.15,75.75,22,36.09,58.48,59.7,69.76,62.01,4.48,50.66,19.78,54.7,6.74,8792.87,4147.32,5535.1,7480,56.83,56.87,29.8,30.36
716,2022/10/9,A1,147.9,359.3,142.6,91.1,70.0907,82.39,81.8182,35.4167,43.4783,89.0633,196.99,4.46,134.8,138.05,81.46,20,43.26,57.05,57.86,68.01,61,4.31,50.78,19.89,48.9,6.42,4147.32,5535.1,6813.34,7650,58.04,56.17,32.13,32.03
720,2022/10/10,A1,131.1,195.5,74.4,92.6,65.6952,73.49,77.4194,37.5,43.3333,111.799,194.6,4.45,122.7,135.79,72.7,22,40.07,57.31,57.98,67.83,59.9,4.42,50,19.91,47.3,7.58,5535.1,6813.34,8071.86,7220,57.45,57.6,32.03,31.21
724,2022/10/11,A1,134.1,152.7,47,92.3,71.1732,77.44,86.8421,47.9167,34.2857,86.4517,193.57,4.65,130,133.59,76.47,24,40.18,57.43,58.36,69.13,61.52,4.43,51.01,20.08,50.3,6.61,6813.34,8071.86,7236.01,8370,58.67,58.25,30.65,29.2
728,2022/10/12,A1,128.6,276.5,150.9,88.5,63.8645,77.64,86.6667,37.5,26.087,127.883,199.28,4.7,128,136.7,75.59,13,34.47,57.74,59.66,69.24,61.24,4.63,49.37,19.69,58.5,8.9,8071.86,7236.01,4987.43,3900,58.08,59.82,29.94,31.62
732,2022/10/13,A1,156.9,348.7,105.2,92.2,64.0968,78.12,80,31.25,40,53.4382,199.71,4.47,127.7,137.77,75.3,24,35.86,58.57,58.69,69.89,62.02,4.24,50.88,19.84,46.9,6.86,7236.01,4987.43,4462.09,8350,59.33,57.9,32.31,32.01
736,2022/10/14,A1,142.7,392.4,56.6,90.1,74.1075,75.97,90.9091,33.3333,20,86.3878,180.04,4.5,131.2,137.8,75.54,23,33.36,57.55,58.34,68.3,60.93,4.55,51.22,19.82,46.4,7.67,4987.43,4462.09,6228.56,7210,57.73,57.76,32.06,31.91
740,2022/10/15,A1,139.5,480.9,52.6,100.5,69.9855,73.55,82.7586,39.5833,40,73.2538,188.97,4.56,132,132.37,73.14,20,40.3,55.95,57.81,67.46,59.52,4.22,49.81,19.69,50,6.72,4462.09,6228.56,4981.26,6800,57.12,57.25,31.3,31.5
744,2022/10/16,A1,118.4,291.2,44.1,90.2,72.546,79.05,73.1707,45.8333,29.6296,95.6618,197.84,4.39,134.2,136.56,78.24,24,35.15,58.13,59.74,69.32,61.18,4.13,50.64,19.8,47.5,6.57,6228.56,4981.26,8006.89,8370,58.18,58.27,31.78,31.65
748,2022/10/17,A1,125.2,560.5,40.4,90.4,72.651,78.21,71.4286,50,37.931,109.126,197.47,4.67,133.3,127.34,77.3,16,34.51,56.79,58.95,67.94,60.42,4.5,50.39,19.68,59,8.2,4981.26,8006.89,5358.09,4910,58.47,58.64,32.16,32.16
752,2022/10/18,A1,132.4,185.1,50,95.2,61.3333,74.16,83.3333,37.5,44.1176,61.8575,184.71,4.59,125.1,132.23,73.71,21,36.13,57.54,57.04,68.22,61.38,27.47,50.78,19.94,53.8,7.91,8006.89,5358.09,4923.86,7960,57.41,55.24,31.52,29.8
756,2022/10/19,A1,154.1,424.6,73.2,92,69.4645,75.9,78.5714,50,13.6364,88.5516,190.14,4.61,131.1,136.76,74.63,26,35.32,57.31,58.63,68.36,60.59,4.3,49.89,20.16,49.5,7.58,5358.09,4923.86,7535.74,8510,57.72,58.19,31.22,31.24
760,2022/10/20,A1,141.7,148.8,46.6,92.1,71.0209,75.1,85.2941,43.75,31.25,91.3303,181.87,4.55,134,136.86,74.69,18,32.88,56.53,57.16,67.46,59.69,16.17,51.72,20.2,45,7.88,4923.86,7535.74,5361.09,5870,59.75,56.87,31.64,30.04
